,result,documentation,terms_of_use,time_last_update_unix,time_last_update_utc,time_next_update_unix,time_next_update_utc,base_code,conversion_rates
MKD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,57.4341
MMK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,2101.3689
MNT,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3382.8779
MOP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,8.0571
MRU,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,39.4304
MUR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,46.2906
MVR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,15.4437
MWK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1739.5846
MXN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,17.1001
MYR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,4.7688
MZN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,63.78
NAD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,18.7559
NGN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1349.4372
NIO,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,36.8184
NOK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,11.0832
NPR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,133.5823
NZD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1.6944
OMR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,0.3845
PAB,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,1.0
PEN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3.7462
PGK,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3.8309
PHP,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,57.7419
PKR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,278.8389
PLN,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,4.0418
PYG,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,7481.0334
QAR,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,3.64
RON,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,4.6437
RSD,success,https://www.exchangerate-api.com/docs,https://www.exchangerate-api.com/terms,1714521602,"Wed, 01 May 2024 00:00:02 +0000",1714608002,"Thu, 02 May 2024 00:00:02 +0000",USD,109.2568
